cycle,mode_0,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10,mode_11,mode_12
32,0.35058491625756194,0.26354523858668194,0.2674944562175006,0.26882976793567737,0.1739644449227224,0.13164831713993566,0.1638207833859679,0.13830457374577002,0.07470372290100366,0.0947133458164913,0.10505635050056558,0.04667021297043641,0.024939817909395114
33,0.3402558739211868,0.2590116516320219,0.2604988082600742,0.2611200485165297,0.16912308843974938,0.12601840023331676,0.1573678196281366,0.13906288990202803,0.08253362399253256,0.10055673421246833,0.09028379940837052,0.033511749328175904,0.023144152898643657
34,0.30365132348863605,0.258448438883829,0.25926228769436077,0.2570773353083053,0.15475920277210714,0.1371800586082216,0.15287480705781298,0.12876713661617523,0.07931444989287348,0.11949596802503543,0.07667434323637443,0.039841810025441834,0.04051652433905804
35,0.30887691749207435,0.25228908795885063,0.25731079791607075,0.24957353225703072,0.1400645384576316,0.13494129920815556,0.1372313943432794,0.13157847873901582,0.06729119894046548,0.11567213913132007,0.04878667645115252,0.024516721395937652,0.048610879254395924
36,0.30067354564998955,0.23755615153099946,0.23834870163761313,0.25041299563674024,0.12368983014062611,0.12807218236138163,0.1340815284744309,0.12874898591201536,0.07027903532138417,0.11513781013299272,0.03401705870726233,0.01945689945240112,0.0363988529344137
37,0.3014053620143776,0.2362466617033161,0.22903883484522708,0.21250122666921215,0.11058107071831527,0.10287182267569135,0.1347544875564753,0.12050214178780787,0.066623129252222,0.11125253325257291,0.03256314370047563,0.012010253853854564,0.03047774758048009
38,0.3033541185779047,0.22549738530013577,0.23327746682369085,0.21178987333208552,0.09809662243966479,0.1096507580325623,0.13296459010285194,0.12399073303483495,0.05927301754553749,0.113577838382642,0.02066092087575449,0.018304628513071505,0.02717307953097814
39,0.27691975521355283,0.2371106586118346,0.22836855457006752,0.22040727985016836,0.09279521263518212,0.09556877069685565,0.12987338850604901,0.0989346010780663,0.062022583665059666,0.10153935838020532,0.03041978052417825,0.01884446198551302,0.027238772166425777
40,0.2668449682033143,0.24787898310778173,0.2134289353905455,0.20703182874677595,0.080492419566641,0.09624397288703351,0.12802069571078886,0.09799266986048615,0.0658009642675043,0.07821882605218103,0.028135074764574924,0.03142662008239658,0.015643988005212394
41,0.25117583623106,0.2519818785444977,0.21751597420058963,0.2046710627730693,0.07396129735273071,0.09110623066833658,0.13435160273479685,0.09617722467662615,0.05345241169721942,0.10254666104681623,0.02014585669997919,0.034681327226352185,0.021576988676192354
42,0.2548976655155139,0.2543012994777334,0.20418136275076829,0.18711717894012814,0.05202619275693474,0.08293518784431794,0.1281610687531803,0.08934471510250339,0.05104459983851043,0.09371480869146323,0.022235889700539073,0.027730472375227952,0.01633629884797833
43,0.25628674229600856,0.2542945423057652,0.19542207722817495,0.17652028046829268,0.05499207732927613,0.08509844307883899,0.1092871710586485,0.0790782398122363,0.05479045938600473,0.08838886523400719,0.031050057834730665,0.008388345794857187,0.02521703957324801
44,0.2612236187244379,0.23144187278558825,0.18101439324244403,0.15571538831291434,0.05883895434819218,0.07735516082926758,0.09594974231453528,0.062476133861916076,0.050785232410559406,0.08382539026182469,0.03671503255495103,0.01330444145673185,0.021859802638798272
45,0.25589874724637135,0.22134190641684884,0.17684718081521442,0.1591962080302713,0.07458401272999342,0.06524957494619375,0.09241204073766365,0.07452832020851646,0.05033895661911716,0.06914657205340528,0.04584191804147725,0.008779185501577177,0.02745188251898762
46,0.24788131902861346,0.2071591362102476,0.1545551919352996,0.17153608201238416,0.0647888034121796,0.05894096296421761,0.09254875728575149,0.07649790658255383,0.05518303540875197,0.05709108764474549,0.04023722048992882,0.012405257061616926,0.037042971047152255
47,0.2494659852399772,0.17951501116796448,0.1450011989269672,0.15158998292190107,0.06444063300000907,0.06102289097735496,0.09893272092036492,0.08009061340381299,0.06342222199486071,0.060973776687465404,0.054803154198852004,0.03332717529705482,0.03921134380687379
48,0.24312945076431303,0.1795875067261079,0.14629892041960155,0.1565427706146272,0.0655271942986843,0.05183942114682483,0.09356075751768733,0.0817297029602345,0.06613470001600816,0.054394203017953974,0.04100066478526182,0.036984922092049836,0.03632844668260348
49,0.2407723730182614,0.17170510651359278,0.12118891120977243,0.14797838525667315,0.0797011266048213,0.04660603186675878,0.10015820374516267,0.06689812081678416,0.0735052313188994,0.04922109038522526,0.030156326371479657,0.053117571045474495,0.04581652814828906
50,0.20434277126490633,0.19528316838155968,0.12173328839164901,0.14354318830337906,0.0773383050618775,0.04849200096084682,0.09874171475904943,0.06145873420655556,0.06061688976033088,0.04373632348585979,0.0324279333908347,0.03574668502270317,0.036517967139013466
51,0.19478703258029387,0.1832416896899343,0.11029362272321962,0.14753711732487063,0.07362888922245944,0.038645555069429544,0.0854522417617344,0.05448301250664931,0.053682479270972076,0.04711483091776198,0.04099381104250742,0.03138643134405959,0.03253774311280125
